status_type,num_reactions,num_comments,num_shares,num_likes,x1,x2,x3,x4
video,272,258,43,226,136,32.25,5.375,28.25
video,248,247,34,208,124,30.875,4.25,26
video,132,89,40,110,66,11.125,5,13.75
video,226,341,41,196,113,42.625,5.125,24.5
video,35,1,0,35,17.5,0.125,0,4.375
video,219,316,36,170,109.5,39.5,4.5,21.25
video,94,1,1,94,47,0.125,0.125,11.75
video,259,368,50,234,129.5,46,6.25,29.25
video,62,1,0,62,31,0.125,0,7.75
video,127,76,21,114,63.5,9.5,2.625,14.25
video,149,63,15,134,74.5,7.875,1.875,16.75
video,134,171,41,116,67,21.375,5.125,14.5
video,392,461,47,360,196,57.625,5.875,45
video,310,540,41,284,155,67.5,5.125,35.5
photo,14,3,0,12,7,0.375,0,1.5
photo,293,6,1,275,146.5,0.75,0.125,34.375
photo,236,12,0,226,118,1.5,0,28.25
photo,312,10,0,291,156,1.25,0,36.375
photo,24,12,0,24,12,1.5,0,3
link,16,9,0,15,8,1.125,0,1.875
photo,33,12,0,32,16.5,1.5,0,4
photo,675,10,0,645,337.5,1.25,0,80.625
photo,737,18,0,697,368.5,2.25,0,87.125
photo,572,16,0,554,286,2,0,69.25
photo,23,7,0,20,11.5,0.875,0,2.5
photo,266,25,0,250,133,3.125,0,31.25
video,378,512,30,348,189,64,3.75,43.5
video,421,709,30,373,210.5,88.625,3.75,46.625
video,1493,1979,753,1333,746.5,247.375,94.125,166.625
photo,76,17,0,76,38,2.125,0,9.5
photo,36,11,0,34,18,1.375,0,4.25
photo,19,8,0,18,9.5,1,0,2.25
photo,27,10,0,27,13.5,1.25,0,3.375
photo,117,2,53,108,58.5,0.25,6.625,13.5
photo,146,1,0,145,73,0.125,0,18.125
photo,166,0,13,151,83,0,1.625,18.875
photo,190,0,31,171,95,0,3.875,21.375
photo,217,16,0,213,108.5,2,0,26.625
photo,458,14,0,451,229,1.75,0,56.375
photo,553,15,0,538,276.5,1.875,0,67.25
photo,203,18,11,190,101.5,2.25,1.375,23.75
photo,1005,25,1,979,502.5,3.125,0.125,122.375
video,202,145,23,182,101,18.125,2.875,22.75
photo,428,14,0,419,214,1.75,0,52.375
photo,479,17,0,462,239.5,2.125,0,57.75
video,212,116,11,201,106,14.5,1.375,25.125
video,225,157,17,211,112.5,19.625,2.125,26.375
video,171,46,5,156,85.5,5.75,0.625,19.5
video,247,120,16,232,123.5,15,2,29
video,269,453,39,242,134.5,56.625,4.875,30.25
video,258,486,32,235,129,60.75,4,29.375
photo,109,2,1,104,54.5,0.25,0.125,13
photo,97,5,0,96,48.5,0.625,0,12
video,280,199,25,254,140,24.875,3.125,31.75
video,325,77,21,293,162.5,9.625,2.625,36.625
photo,51,11,0,51,25.5,1.375,0,6.375
video,280,825,47,243,140,103.125,5.875,30.375
video,688,0,0,632,344,0,0,79
video,365,805,46,320,182.5,100.625,5.75,40
photo,295,5,0,295,147.5,0.625,0,36.875
photo,27,14,0,26,13.5,1.75,0,3.25
photo,15,11,0,15,7.5,1.375,0,1.875
photo,16,12,0,16,8,1.5,0,2
photo,29,12,0,29,14.5,1.5,0,3.625
video,28,6,0,28,14,0.75,0,3.5
photo,8,8,0,8,4,1,0,1
photo,10,9,0,10,5,1.125,0,1.25
photo,39,8,0,39,19.5,1,0,4.875
photo,49,11,0,47,24.5,1.375,0,5.875
video,226,449,37,189,113,56.125,4.625,23.625
video,104,49,13,91,52,6.125,1.625,11.375
photo,251,17,0,244,125.5,2.125,0,30.5
video,244,589,48,213,122,73.625,6,26.625
video,252,558,41,204,126,69.75,5.125,25.5
video,121,15,4,114,60.5,1.875,0.5,14.25
photo,321,5,0,307,160.5,0.625,0,38.375
photo,103,8,3,99,51.5,1,0.375,12.375
video,136,31,16,122,68,3.875,2,15.25
video,337,247,27,300,168.5,30.875,3.375,37.5
photo,648,13,0,627,324,1.625,0,78.375
video,175,157,14,157,87.5,19.625,1.75,19.625
video,339,424,36,296,169.5,53,4.5,37
photo,341,3,0,331,170.5,0.375,0,41.375
video,177,131,27,150,88.5,16.375,3.375,18.75
photo,201,0,0,195,100.5,0,0,24.375
photo,43,7,0,41,21.5,0.875,0,5.125
photo,40,7,0,39,20,0.875,0,4.875
photo,58,14,0,57,29,1.75,0,7.125
video,403,525,42,363,201.5,65.625,5.25,45.375
photo,148,4,3,144,74,0.5,0.375,18
photo,150,24,2,144,75,3,0.25,18
photo,53,12,0,53,26.5,1.5,0,6.625
status,144,15,8,140,72,1.875,1,17.5
video,298,491,46,262,149,61.375,5.75,32.75
photo,171,4,1,166,85.5,0.5,0.125,20.75
photo,4410,633,257,4315,2205,79.125,32.125,539.375
video,374,588,46,327,187,73.5,5.75,40.875
photo,181,20,0,180,90.5,2.5,0,22.5
photo,267,20,1,249,133.5,2.5,0.125,31.125
photo,60,7,0,59,30,0.875,0,7.375
photo,98,23,5,95,49,2.875,0.625,11.875
video,26,7,0,26,13,0.875,0,3.25
photo,255,18,0,244,127.5,2.25,0,30.5
photo,174,6,1,167,87,0.75,0.125,20.875
photo,64,5,1,59,32,0.625,0.125,7.375
photo,62,3,0,58,31,0.375,0,7.25
video,192,417,40,168,96,52.125,5,21
photo,110,18,6,110,55,2.25,0.75,13.75
photo,119,12,7,117,59.5,1.5,0.875,14.625
photo,42,11,0,41,21,1.375,0,5.125
video,234,355,34,178,117,44.375,4.25,22.25
photo,54,10,0,53,27,1.25,0,6.625
photo,82,8,0,80,41,1,0,10
photo,18,8,0,18,9,1,0,2.25
photo,147,17,7,141,73.5,2.125,0.875,17.625
photo,80,8,0,79,40,1,0,9.875
video,299,564,42,262,149.5,70.5,5.25,32.75
photo,629,11,1,607,314.5,1.375,0.125,75.875
photo,69,2,0,67,34.5,0.25,0,8.375
video,219,110,17,190,109.5,13.75,2.125,23.75
photo,30,2,0,27,15,0.25,0,3.375
photo,65,1,0,62,32.5,0.125,0,7.75
photo,161,7,0,153,80.5,0.875,0,19.125
video,398,605,30,348,199,75.625,3.75,43.5
photo,47,7,0,47,23.5,0.875,0,5.875
photo,182,3,4,177,91,0.375,0.5,22.125
video,317,158,32,269,158.5,19.75,4,33.625
video,571,888,107,459,285.5,111,13.375,57.375
photo,16,10,0,15,8,1.25,0,1.875
photo,30,9,0,30,15,1.125,0,3.75
photo,57,7,0,57,28.5,0.875,0,7.125
photo,74,6,3,74,37,0.75,0.375,9.25
video,368,911,50,317,184,113.875,6.25,39.625
photo,19,3,0,19,9.5,0.375,0,2.375
photo,176,3,0,175,88,0.375,0,21.875
photo,133,7,0,133,66.5,0.875,0,16.625
photo,162,6,2,158,81,0.75,0.25,19.75
video,734,996,73,601,367,124.5,9.125,75.125
status,42,16,9,41,21,2,1.125,5.125
status,33,6,3,31,16.5,0.75,0.375,3.875
video,29,6,1,29,14.5,0.75,0.125,3.625
photo,43,6,0,42,21.5,0.75,0,5.25
photo,14,6,0,13,7,0.75,0,1.625
video,475,574,48,406,237.5,71.75,6,50.75
photo,50,8,2,49,25,1,0.25,6.125
photo,94,23,6,94,47,2.875,0.75,11.75
video,303,34,3,291,151.5,4.25,0.375,36.375
photo,168,7,1,167,84,0.875,0.125,20.875
photo,248,14,0,241,124,1.75,0,30.125
photo,422,6,0,410,211,0.75,0,51.25
photo,189,3,0,184,94.5,0.375,0,23
photo,390,17,2,382,195,2.125,0.25,47.75
photo,618,28,0,597,309,3.5,0,74.625
photo,191,2,2,188,95.5,0.25,0.25,23.5
video,321,1381,67,275,160.5,172.625,8.375,34.375
photo,364,7,2,347,182,0.875,0.25,43.375
photo,51,10,0,51,25.5,1.25,0,6.375
video,282,524,38,247,141,65.5,4.75,30.875
photo,369,14,1,362,184.5,1.75,0.125,45.25
photo,138,16,6,133,69,2,0.75,16.625
photo,96,9,1,93,48,1.125,0.125,11.625
photo,186,11,0,184,93,1.375,0,23
photo,487,15,0,461,243.5,1.875,0,57.625
video,282,19,4,257,141,2.375,0.5,32.125
photo,383,8,1,367,191.5,1,0.125,45.875
photo,216,0,1,211,108,0,0.125,26.375
photo,48,0,0,45,24,0,0,5.625
video,885,462,26,659,442.5,57.75,3.25,82.375
photo,185,11,1,175,92.5,1.375,0.125,21.875
photo,259,1,1,251,129.5,0.125,0.125,31.375
photo,299,9,0,291,149.5,1.125,0,36.375
photo,199,9,1,186,99.5,1.125,0.125,23.25
photo,717,40,1,680,358.5,5,0.125,85
photo,155,2,0,150,77.5,0.25,0,18.75
photo,293,8,0,282,146.5,1,0,35.25
photo,243,6,0,237,121.5,0.75,0,29.625
photo,264,2,0,256,132,0.25,0,32
photo,313,3,0,297,156.5,0.375,0,37.125
photo,208,1,0,201,104,0.125,0,25.125
photo,216,0,0,209,108,0,0,26.125
photo,247,6,0,234,123.5,0.75,0,29.25
photo,152,1,0,146,76,0.125,0,18.25
photo,387,3,0,368,193.5,0.375,0,46
photo,178,9,0,170,89,1.125,0,21.25
photo,218,4,0,212,109,0.5,0,26.5
photo,270,3,0,256,135,0.375,0,32
photo,351,4,1,344,175.5,0.5,0.125,43
photo,232,0,2,224,116,0,0.25,28
photo,252,3,0,244,126,0.375,0,30.5
photo,122,0,0,114,61,0,0,14.25
photo,209,4,0,199,104.5,0.5,0,24.875
photo,305,5,1,295,152.5,0.625,0.125,36.875
photo,71,10,2,70,35.5,1.25,0.25,8.75
photo,290,12,0,275,145,1.5,0,34.375
photo,67,6,3,66,33.5,0.75,0.375,8.25
photo,783,11,0,752,391.5,1.375,0,94
photo,77,2,0,76,38.5,0.25,0,9.5
video,22,0,0,22,11,0,0,2.75
photo,103,0,0,100,51.5,0,0,12.5
video,32,0,2,32,16,0,0.25,4
photo,239,5,2,229,119.5,0.625,0.25,28.625
photo,111,6,0,110,55.5,0.75,0,13.75
video,51,0,1,51,25.5,0,0.125,6.375
video,34,4,0,34,17,0.5,0,4.25
link,15,0,0,15,7.5,0,0,1.875
video,75,0,5,75,37.5,0,0.625,9.375
photo,177,2,0,173,88.5,0.25,0,21.625
photo,520,8,0,505,260,1,0,63.125
photo,134,2,0,132,67,0.25,0,16.5
photo,228,1,1,220,114,0.125,0.125,27.5
video,498,254,17,408,249,31.75,2.125,51
photo,166,5,2,159,83,0.625,0.25,19.875
video,272,265,20,228,136,33.125,2.5,28.5
photo,127,7,1,125,63.5,0.875,0.125,15.625
photo,30,0,0,29,15,0,0,3.625
link,33,1,1,33,16.5,0.125,0.125,4.125
photo,252,5,0,239,126,0.625,0,29.875
photo,287,0,0,286,143.5,0,0,35.75
photo,264,8,3,257,132,1,0.375,32.125
photo,152,5,1,148,76,0.625,0.125,18.5
photo,61,5,0,57,30.5,0.625,0,7.125
video,172,7,7,163,86,0.875,0.875,20.375
video,616,523,21,459,308,65.375,2.625,57.375
photo,188,0,0,184,94,0,0,23
video,593,309,23,484,296.5,38.625,2.875,60.5
photo,189,2,0,182,94.5,0.25,0,22.75
photo,178,5,0,175,89,0.625,0,21.875
photo,318,7,0,313,159,0.875,0,39.125
photo,362,9,0,352,181,1.125,0,44
photo,48,6,0,48,24,0.75,0,6
photo,248,1,0,244,124,0.125,0,30.5
photo,520,2,0,509,260,0.25,0,63.625
photo,97,8,2,94,48.5,1,0.25,11.75
photo,400,16,0,392,200,2,0,49
photo,218,0,0,212,109,0,0,26.5
photo,77,13,4,77,38.5,1.625,0.5,9.625
photo,204,4,0,198,102,0.5,0,24.75
photo,405,6,0,399,202.5,0.75,0,49.875
photo,210,0,0,204,105,0,0,25.5
photo,214,1,0,208,107,0.125,0,26
photo,374,4,0,360,187,0.5,0,45
photo,457,3,0,444,228.5,0.375,0,55.5
photo,215,0,0,205,107.5,0,0,25.625
video,7,5,0,7,3.5,0.625,0,0.875
photo,38,6,3,38,19,0.75,0.375,4.75
photo,168,1,0,168,84,0.125,0,21
photo,277,0,0,274,138.5,0,0,34.25
photo,196,1,0,190,98,0.125,0,23.75
photo,100,3,0,99,50,0.375,0,12.375
photo,85,4,0,79,42.5,0.5,0,9.875
photo,34,10,6,34,17,1.25,0.75,4.25
photo,41,9,0,39,20.5,1.125,0,4.875
photo,23,5,1,22,11.5,0.625,0.125,2.75
video,217,24,5,206,108.5,3,0.625,25.75
photo,161,9,2,158,80.5,1.125,0.25,19.75
photo,279,0,0,276,139.5,0,0,34.5
photo,97,9,3,95,48.5,1.125,0.375,11.875
photo,489,3,0,480,244.5,0.375,0,60
photo,245,4,0,242,122.5,0.5,0,30.25
photo,270,5,0,268,135,0.625,0,33.5
photo,166,11,1,165,83,1.375,0.125,20.625
video,121,18,3,110,60.5,2.25,0.375,13.75
photo,33,9,1,33,16.5,1.125,0.125,4.125
photo,72,1,0,72,36,0.125,0,9
photo,174,0,0,173,87,0,0,21.625
photo,192,0,0,186,96,0,0,23.25
video,286,61,5,250,143,7.625,0.625,31.25
photo,231,0,0,230,115.5,0,0,28.75
photo,138,1,0,135,69,0.125,0,16.875
photo,104,6,1,102,52,0.75,0.125,12.75
photo,91,10,4,90,45.5,1.25,0.5,11.25
photo,682,22,0,657,341,2.75,0,82.125
video,1379,769,69,1131,689.5,96.125,8.625,141.375
photo,629,16,1,610,314.5,2,0.125,76.25
video,58,4,3,58,29,0.5,0.375,7.25
photo,272,9,0,268,136,1.125,0,33.5
photo,213,2,2,207,106.5,0.25,0.25,25.875
photo,225,2,0,220,112.5,0.25,0,27.5
photo,463,48,2,450,231.5,6,0.25,56.25
photo,285,7,0,276,142.5,0.875,0,34.5
photo,526,18,0,512,263,2.25,0,64
photo,418,4,0,406,209,0.5,0,50.75
photo,515,10,0,505,257.5,1.25,0,63.125
photo,377,5,0,365,188.5,0.625,0,45.625
photo,1186,37,1,1161,593,4.625,0.125,145.125
video,591,560,49,498,295.5,70,6.125,62.25
photo,424,8,1,411,212,1,0.125,51.375
photo,119,16,0,105,59.5,2,0,13.125
photo,67,9,0,66,33.5,1.125,0,8.25
photo,439,10,3,424,219.5,1.25,0.375,53
status,1043,117,24,984,521.5,14.625,3,123
photo,690,10,0,667,345,1.25,0,83.375
status,84,7,1,84,42,0.875,0.125,10.5
photo,491,16,0,478,245.5,2,0,59.75
photo,63,1,0,61,31.5,0.125,0,7.625
link,46,3,1,46,23,0.375,0.125,5.75
photo,320,17,0,309,160,2.125,0,38.625
video,51,8,6,51,25.5,1,0.75,6.375
photo,85,9,2,83,42.5,1.125,0.25,10.375
photo,99,13,0,98,49.5,1.625,0,12.25
photo,213,13,1,212,106.5,1.625,0.125,26.5
photo,156,12,0,154,78,1.5,0,19.25
video,204,128,4,184,102,16,0.5,23
photo,246,8,0,241,123,1,0,30.125
photo,225,2,0,219,112.5,0.25,0,27.375
video,256,427,30,191,128,53.375,3.75,23.875
photo,146,1,0,142,73,0.125,0,17.75
photo,212,0,1,206,106,0,0.125,25.75
photo,229,3,0,225,114.5,0.375,0,28.125
photo,66,2,0,64,33,0.25,0,8
photo,158,0,0,157,79,0,0,19.625
photo,301,7,0,288,150.5,0.875,0,36
video,88,1,0,87,44,0.125,0,10.875
video,148,54,2,126,74,6.75,0.25,15.75
photo,398,11,0,390,199,1.375,0,48.75
photo,89,4,0,86,44.5,0.5,0,10.75
photo,151,0,0,146,75.5,0,0,18.25
photo,155,5,0,152,77.5,0.625,0,19
video,109,13,0,104,54.5,1.625,0,13
video,117,16,0,104,58.5,2,0,13
video,112,7,0,101,56,0.875,0,12.625
photo,132,3,0,123,66,0.375,0,15.375
photo,149,3,0,142,74.5,0.375,0,17.75
photo,274,9,0,260,137,1.125,0,32.5
video,195,95,5,162,97.5,11.875,0.625,20.25
video,138,25,2,125,69,3.125,0.25,15.625
video,627,266,8,519,313.5,33.25,1,64.875
photo,289,23,0,279,144.5,2.875,0,34.875
photo,209,10,0,204,104.5,1.25,0,25.5
video,162,75,6,145,81,9.375,0.75,18.125
photo,265,11,0,259,132.5,1.375,0,32.375
photo,301,10,0,294,150.5,1.25,0,36.75
photo,213,5,0,209,106.5,0.625,0,26.125
photo,210,3,0,206,105,0.375,0,25.75
photo,408,11,0,393,204,1.375,0,49.125
photo,223,6,0,215,111.5,0.75,0,26.875
photo,359,4,0,353,179.5,0.5,0,44.125
photo,535,2,0,485,267.5,0.25,0,60.625
photo,362,10,0,354,181,1.25,0,44.25
video,266,165,10,215,133,20.625,1.25,26.875
photo,156,2,0,151,78,0.25,0,18.875
video,110,21,0,102,55,2.625,0,12.75
video,446,6148,120,352,223,768.5,15,44
status,102,1,0,102,51,0.125,0,12.75
photo,161,6,0,158,80.5,0.75,0,19.75
photo,279,8,0,273,139.5,1,0,34.125
photo,288,6,0,281,144,0.75,0,35.125
photo,230,8,0,221,115,1,0,27.625
photo,271,12,0,262,135.5,1.5,0,32.75
photo,113,2,1,107,56.5,0.25,0.125,13.375
video,256,103,16,205,128,12.875,2,25.625
photo,306,4,0,301,153,0.5,0,37.625
photo,566,10,0,548,283,1.25,0,68.5
photo,186,1,1,184,93,0.125,0.125,23
video,135,9,2,118,67.5,1.125,0.25,14.75
video,174,195,3,146,87,24.375,0.375,18.25
video,171,84,4,159,85.5,10.5,0.5,19.875
photo,373,8,0,365,186.5,1,0,45.625
photo,403,5,0,392,201.5,0.625,0,49
photo,139,14,0,138,69.5,1.75,0,17.25
photo,148,16,5,146,74,2,0.625,18.25
photo,270,8,0,265,135,1,0,33.125
photo,343,8,0,334,171.5,1,0,41.75
photo,254,5,0,252,127,0.625,0,31.5
photo,304,9,6,298,152,1.125,0.75,37.25
photo,437,6,0,433,218.5,0.75,0,54.125
photo,412,4,2,399,206,0.5,0.25,49.875
photo,183,11,0,175,91.5,1.375,0,21.875
photo,353,8,2,342,176.5,1,0.25,42.75
photo,144,14,1,142,72,1.75,0.125,17.75
photo,905,10,5,876,452.5,1.25,0.625,109.5
video,151,19,2,129,75.5,2.375,0.25,16.125
photo,276,4,0,264,138,0.5,0,33
photo,227,3,4,218,113.5,0.375,0.5,27.25
video,340,1201,47,276,170,150.125,5.875,34.5
photo,478,12,0,463,239,1.5,0,57.875
photo,189,22,2,185,94.5,2.75,0.25,23.125
photo,211,7,0,207,105.5,0.875,0,25.875
photo,296,2,0,293,148,0.25,0,36.625
video,113,15,1,100,56.5,1.875,0.125,12.5
photo,113,2,0,109,56.5,0.25,0,13.625
video,133,19,2,115,66.5,2.375,0.25,14.375
photo,223,3,0,213,111.5,0.375,0,26.625
photo,322,8,1,311,161,1,0.125,38.875
photo,235,3,0,230,117.5,0.375,0,28.75
photo,163,1,0,160,81.5,0.125,0,20
photo,373,4,3,367,186.5,0.5,0.375,45.875
video,249,147,8,193,124.5,18.375,1,24.125
photo,129,2,0,123,64.5,0.25,0,15.375
photo,245,7,0,234,122.5,0.875,0,29.25
photo,272,9,0,264,136,1.125,0,33
video,239,127,7,189,119.5,15.875,0.875,23.625
photo,135,9,1,131,67.5,1.125,0.125,16.375
photo,333,44,0,325,166.5,5.5,0,40.625
photo,96,3,0,94,48,0.375,0,11.75
photo,210,7,0,203,105,0.875,0,25.375
video,154,72,6,124,77,9,0.75,15.5
photo,192,8,0,189,96,1,0,23.625
photo,152,2,0,151,76,0.25,0,18.875
photo,222,3,0,216,111,0.375,0,27
photo,227,1,0,223,113.5,0.125,0,27.875
photo,542,21,1,521,271,2.625,0.125,65.125
video,279,274,15,233,139.5,34.25,1.875,29.125
photo,263,8,0,258,131.5,1,0,32.25
video,358,5498,94,294,179,687.25,11.75,36.75
video,65,4,1,65,32.5,0.5,0.125,8.125
photo,190,11,1,182,95,1.375,0.125,22.75
photo,320,4,1,309,160,0.5,0.125,38.625
photo,266,8,0,254,133,1,0,31.75
video,452,19013,161,353,226,2376.625,20.125,44.125
status,123,23,0,114,61.5,2.875,0,14.25
video,543,4661,178,397,271.5,582.625,22.25,49.625
photo,278,8,0,267,139,1,0,33.375
video,445,432,27,315,222.5,54,3.375,39.375
photo,196,7,8,190,98,0.875,1,23.75
video,607,383,52,446,303.5,47.875,6.5,55.75
photo,180,4,0,166,90,0.5,0,20.75
photo,236,8,0,228,118,1,0,28.5
status,93,2,1,90,46.5,0.25,0.125,11.25
video,48,6,0,47,24,0.75,0,5.875
video,245,169,37,205,122.5,21.125,4.625,25.625
status,225,12,29,222,112.5,1.5,3.625,27.75
photo,133,4,2,128,66.5,0.5,0.25,16
photo,170,11,2,159,85,1.375,0.25,19.875
photo,304,13,0,294,152,1.625,0,36.75
photo,150,5,0,148,75,0.625,0,18.5
photo,387,8,0,375,193.5,1,0,46.875
video,564,20990,154,473,282,2623.75,19.25,59.125
photo,261,36,1,256,130.5,4.5,0.125,32
photo,477,12,0,468,238.5,1.5,0,58.5
photo,154,19,7,153,77,2.375,0.875,19.125
photo,130,13,2,124,65,1.625,0.25,15.5
photo,307,0,0,294,153.5,0,0,36.75
photo,113,12,5,111,56.5,1.5,0.625,13.875
photo,77,4,2,77,38.5,0.5,0.25,9.625
video,38,4,0,37,19,0.5,0,4.625
photo,209,9,0,206,104.5,1.125,0,25.75
photo,99,0,3,98,49.5,0,0.375,12.25
video,119,8,2,113,59.5,1,0.25,14.125
photo,182,2,21,180,91,0.25,2.625,22.5
photo,155,1,4,148,77.5,0.125,0.5,18.5
video,86,0,0,76,43,0,0,9.5
video,124,0,0,114,62,0,0,14.25
video,221,1,0,211,110.5,0.125,0,26.375
photo,52,0,0,52,26,0,0,6.5
video,38,7,1,38,19,0.875,0.125,4.75
photo,2,0,37,2,1,0,4.625,0.25
photo,347,0,1,335,173.5,0,0.125,41.875
photo,99,0,30,97,49.5,0,3.75,12.125
photo,210,0,6,202,105,0,0.75,25.25
photo,178,0,0,171,89,0,0,21.375
photo,149,0,1,143,74.5,0,0.125,17.875
photo,77,0,1,73,38.5,0,0.125,9.125
link,169,0,57,166,84.5,0,7.125,20.75
link,237,0,0,229,118.5,0,0,28.625
photo,86,0,3,85,43,0,0.375,10.625
photo,120,0,2,119,60,0,0.25,14.875
photo,234,0,0,224,117,0,0,28
photo,280,0,1,277,140,0,0.125,34.625
photo,319,5,0,308,159.5,0.625,0,38.5
video,171,0,0,162,85.5,0,0,20.25
photo,251,5,0,249,125.5,0.625,0,31.125
video,135,0,0,128,67.5,0,0,16
photo,1,0,37,1,0.5,0,4.625,0.125
photo,1,0,1,1,0.5,0,0.125,0.125
photo,264,2,0,261,132,0.25,0,32.625
photo,218,2,5,214,109,0.25,0.625,26.75
photo,52,0,4,52,26,0,0.5,6.5
video,41,0,3,39,20.5,0,0.375,4.875
photo,67,0,1,66,33.5,0,0.125,8.25
photo,266,9,1,237,133,1.125,0.125,29.625
photo,165,0,0,156,82.5,0,0,19.5
video,70,0,0,66,35,0,0,8.25
photo,247,1,0,239,123.5,0.125,0,29.875
photo,379,0,0,373,189.5,0,0,46.625
photo,305,1,0,284,152.5,0.125,0,35.5
photo,26,0,0,23,13,0,0,2.875
photo,28,0,0,27,14,0,0,3.375
photo,37,0,0,35,18.5,0,0,4.375
photo,46,0,0,46,23,0,0,5.75
photo,164,2,13,150,82,0.25,1.625,18.75
photo,282,0,0,278,141,0,0,34.75
status,61,5,0,54,30.5,0.625,0,6.75
photo,68,3,0,68,34,0.375,0,8.5
photo,73,1,17,66,36.5,0.125,2.125,8.25
photo,641,0,0,628,320.5,0,0,78.5
photo,122,0,0,115,61,0,0,14.375
photo,654,1,50,617,327,0.125,6.25,77.125
photo,245,2,0,239,122.5,0.25,0,29.875
photo,173,0,0,173,86.5,0,0,21.625
photo,64,0,1,64,32,0,0.125,8
photo,495,9,227,443,247.5,1.125,28.375,55.375
photo,144,0,0,137,72,0,0,17.125
photo,476,3,212,452,238,0.375,26.5,56.5
photo,4,0,41,4,2,0,5.125,0.5
photo,48,0,1,43,24,0,0.125,5.375
status,77,1,38,76,38.5,0.125,4.75,9.5
photo,199,0,5,179,99.5,0,0.625,22.375
status,43,0,1,42,21.5,0,0.125,5.25
photo,30,0,0,30,15,0,0,3.75
photo,190,1,0,168,95,0.125,0,21
photo,96,0,5,90,48,0,0.625,11.25
photo,295,3,10,243,147.5,0.375,1.25,30.375
photo,102,0,1,87,51,0,0.125,10.875
photo,52,0,2,46,26,0,0.25,5.75
photo,71,0,5,61,35.5,0,0.625,7.625
photo,95,1,2,73,47.5,0.125,0.25,9.125
photo,132,10,1,124,66,1.25,0.125,15.5
video,63,14,0,63,31.5,1.75,0,7.875
photo,187,6,0,182,93.5,0.75,0,22.75
photo,124,2,0,119,62,0.25,0,14.875
